State,Function,FT_Emp,FT_Dollar,PT_Emp,PT_Dollar,FTE_Emp,FTPT_Emp,Total,Spending,Spend_Mil
HI,Transit,249,"1,357,084",25,"49,104",265,274,"1,406,188",1406188,1.406188
HI,Education,"31,754","170,848,202","16,143","19,148,978","36,587","47,897","189,997,180",189997180,189.99718
HI,Libraries,472,"1,883,439",231,"223,210",567,703,"2,106,649",2106649,2.106649
HI,State liquor stores,0,0,0,0,0,0,0,0,0
HI,All other and unallocable,"4,835","24,800,519",76,"102,413","4,867","4,911","24,902,932",24902932,24.902932
ID,Financial Administration,"2,956","14,921,047",294,"450,263","3,117","3,250","15,371,310",15371310,15.37131
ID,Other Government Administration,"1,635","7,380,655","1,035","794,717","1,874","2,670","8,175,372",8175372,8.175372
ID,Judicial and Legal,"2,236","14,223,522",219,"383,093","2,329","2,455","14,606,615",14606615,14.606615
ID,Police Protection,"4,387","23,493,985",278,"271,457","4,479","4,665","23,765,442",23765442,23.765442
ID,Fire Protection,"1,427","9,157,089","1,242","535,291","1,575","2,669","9,692,380",9692380,9.69238
ID,Corrections,"4,079","22,392,017",202,"245,836","4,167","4,281","22,637,853",22637853,22.637853
ID,Highways,"3,238","14,780,489",277,"243,885","3,328","3,515","15,024,374",15024374,15.024374
ID,Air Transportation,139,"561,582",11,"20,521",144,150,"582,103",582103,0.582103
ID,Sea and Inland Port Facilities,3,"21,428",5,"4,758",3,8,"26,186",26186,0.026186
ID,Public Welfare,"1,867","8,486,651",130,"285,715","1,944","1,997","8,772,366",8772366,8.772366
ID,Health,"2,534","13,815,731",599,"1,227,272","2,784","3,133","15,043,003",15043003,15.043003
ID,Hospitals,"4,180","23,913,572","1,190","3,559,082","4,972","5,370","27,472,654",27472654,27.472654
ID,Social Insurance Administration,491,"3,173,364",7,"27,964",496,498,"3,201,328",3201328,3.201328
ID,Solid Waste Management,541,"1,961,183",72,"67,162",572,613,"2,028,345",2028345,2.028345
ID,Sewerage,618,"2,743,534",197,"137,422",656,815,"2,880,956",2880956,2.880956
ID,Parks and Recreation,"1,004","4,386,085","1,276","821,290","1,406","2,280","5,207,375",5207375,5.207375
ID,Housing & Community Development,267,"1,173,641",33,"14,883",280,300,"1,188,524",1188524,1.188524
ID,Natural Resources,"2,105","11,947,710",986,"1,304,565","2,537","3,091","13,252,275",13252275,13.252275
ID,Water Supply,600,"2,474,836",179,"74,897",624,779,"2,549,733",2549733,2.549733
ID,Electric Power,100,"750,803",1,"1,125",100,101,"751,928",751928,0.751928
ID,Gas Supply,0,0,0,0,0,0,0,0,0
ID,Transit,53,"242,349",39,"46,322",74,92,"288,671",288671,0.288671
ID,Education,"39,785","159,537,279","20,786","16,807,701","45,567","60,571","176,344,980",176344980,176.34498
ID,Libraries,487,"1,814,719",777,"811,570",786,"1,264","2,626,289",2626289,2.626289
ID,State liquor stores,173,"869,194",198,"288,567",270,371,"1,157,761",1157761,1.157761
ID,All other and unallocable,"2,298","13,093,699",609,"662,746","2,457","2,907","13,756,445",13756445,13.756445
IL,Financial Administration,"11,273","64,026,749","3,483","4,157,626","12,488","14,756","68,184,375",68184375,68.184375
IL,Other Government Administration,"8,838","50,605,659","15,209","7,136,802","10,344","24,047","57,742,461",57742461,57.742461
IL,Judicial and Legal,"12,618","84,442,787",948,"1,594,780","12,996","13,566","86,037,567",86037567,86.037567
IL,Police Protection,"39,174","288,903,811","5,974","6,688,752","41,369","45,148","295,592,563",295592563,295.592563
IL,Fire Protection,"15,082","122,292,653","10,591","7,216,817","17,196","25,673","129,509,470",129509470,129.50947
IL,Corrections,"23,712","150,526,296",505,"759,987","23,895","24,217","151,286,283",151286283,151.286283
IL,Highways,"15,761","93,237,168","3,412","7,582,014","17,467","19,173","100,819,182",100819182,100.819182
IL,Air Transportation,"1,847","12,182,827",213,"206,260","1,921","2,060","12,389,087",12389087,12.389087
IL,Sea and Inland Port Facilities,96,"609,050",9,"27,509",101,105,"636,559",636559,0.636559
IL,Public Welfare,"13,241","81,616,023","1,592","1,810,693","14,032","14,833","83,426,716",83426716,83.426716
IL,Health,"7,365","40,575,001","1,200","1,822,426","7,869","8,565","42,397,427",42397427,42.397427
IL,Hospitals,"21,979","141,952,518","2,364","6,801,823","23,113","24,343","148,754,341",148754341,148.754341
IL,Social Insurance Administration,"1,436","8,367,853",9,"13,883","1,436","1,445","8,381,736",8381736,8.381736
IL,Solid Waste Management,"1,312","7,757,203",103,"114,272","1,361","1,415","7,871,475",7871475,7.871475
IL,Sewerage,"4,880","34,839,341",466,"483,165","5,015","5,346","35,322,506",35322506,35.322506
IL,Parks and Recreation,"9,995","52,661,457","24,457","20,637,513","17,891","34,452","73,298,970",73298970,73.29897
IL,Housing & Community Development,"3,509","19,087,806",323,"497,797","3,670","3,832","19,585,603",19585603,19.585603
IL,Natural Resources,"3,279","18,532,504","2,039","4,469,369","4,325","5,318","23,001,873",23001873,23.001873
IL,Water Supply,"5,085","32,889,934",980,"858,074","5,353","6,065","33,748,008",33748008,33.748008
IL,Electric Power,"1,016","7,494,980",9,"13,878","1,019","1,025","7,508,858",7508858,7.508858
IL,Gas Supply,130,"603,867",8,"14,723",133,138,"618,590",618590,0.61859
IL,Transit,"15,156","99,431,870","2,108","5,438,153","16,718","17,264","104,870,023",104870023,104.870023
IL,Education,"306,921","1,688,624,944","125,454","194,545,984","356,730","432,375","1,883,170,928",1883170928,1883.170928
IL,Libraries,"5,444","25,211,700","7,974","10,037,859","9,121","13,418","35,249,559",35249559,35.249559
IL,State liquor stores,45,"282,956",0,0,45,45,"282,956",282956,0.282956
IL,All other and unallocable,"14,761","96,388,289","3,922","4,347,214","15,985","18,683","100,735,503",100735503,100.735503
IN,Financial Administration,"7,341","29,066,085","1,619","1,647,240","7,914","8,960","30,713,325",30713325,30.713325
IN,Other Government Administration,"5,855","20,627,073","4,918","3,195,697","6,592","10,773","23,822,770",23822770,23.82277
IN,Judicial and Legal,"7,727","37,073,313",920,"1,181,017","8,089","8,647","38,254,330",38254330,38.25433
IN,Police Protection,"15,361","81,020,641","1,762","1,437,711","15,911","17,123","82,458,352",82458352,82.458352
IN,Fire Protection,"7,782","45,847,644","1,697","1,069,118","8,167","9,479","46,916,762",46916762,46.916762
IN,Corrections,"12,202","45,864,940","1,010","1,315,779","12,768","13,212","47,180,719",47180719,47.180719
IN,Highways,"9,180","37,129,306",404,"581,630","9,369","9,584","37,710,936",37710936,37.710936
IN,Air Transportation,275,"1,093,859",94,"103,034",314,369,"1,196,893",1196893,1.196893
IN,Sea and Inland Port Facilities,48,"253,622",4,"4,648",48,52,"258,270",258270,0.25827
IN,Public Welfare,"7,418","29,454,915",252,"338,748","7,533","7,670","29,793,663",29793663,29.793663
IN,Health,"4,702","20,877,900",829,"1,049,757","4,996","5,531","21,927,657",21927657,21.927657
IN,Hospitals,"19,928","109,311,515","5,940","17,991,618","23,673","25,868","127,303,133",127303133,127.303133
IN,Social Insurance Administration,"1,065","4,134,961",32,"43,475","1,082","1,097","4,178,436",4178436,4.178436
IN,Solid Waste Management,"1,407","5,332,792",371,"344,188","1,572","1,778","5,676,980",5676980,5.67698
IN,Sewerage,"3,018","13,321,868",340,"301,856","3,119","3,358","13,623,724",13623724,13.623724
IN,Parks and Recreation,"2,664","10,272,954","3,241","2,793,278","3,803","5,905","13,066,232",13066232,13.066232
IN,Housing & Community Development,"1,341","5,580,752",230,"227,913","1,447","1,571","5,808,665",5808665,5.808665
IN,Natural Resources,"2,178","9,108,350",772,"591,375","2,449","2,950","9,699,725",9699725,9.699725
IN,Water Supply,"2,222","9,832,686",245,"212,081","2,287","2,467","10,044,767",10044767,10.044767
IN,Electric Power,761,"4,416,036",25,"23,643",768,786,"4,439,679",4439679,4.439679
IN,Gas Supply,"1,165","7,735,356",152,"290,587","1,256","1,317","8,025,943",8025943,8.025943
IN,Transit,"1,946","9,101,114",141,"232,838","2,036","2,087","9,333,952",9333952,9.333952
IN,Education,"160,938","719,642,526","85,428","93,483,760","193,741","246,366","813,126,286",813126286,813.126286
IN,Libraries,"3,000","10,955,889","3,339","3,179,261","4,514","6,339","14,135,150",14135150,14.13515
IN,State liquor stores,0,0,0,0,0,0,0,0,0
IN,All other and unallocable,"5,835","24,783,145","1,040","934,582","6,197","6,875","25,717,727",25717727,25.717727
IA,Financial Administration,"3,969","21,094,630",805,"706,480","4,185","4,774","21,801,110",21801110,21.80111
IA,Other Government Administration,"2,477","12,340,596","3,981","1,515,989","2,968","6,458","13,856,585",13856585,13.856585
IA,Judicial and Legal,"3,114","19,141,900",219,"550,322","3,232","3,333","19,692,222",19692222,19.692222
IA,Police Protection,"7,094","42,836,202",706,"637,720","7,305","7,800","43,473,922",43473922,43.473922
IA,Fire Protection,"1,943","12,741,771","1,705","620,787","2,136","3,648","13,362,558",13362558,13.362558
IA,Corrections,"4,345","22,382,205",373,"855,100","4,543","4,718","23,237,305",23237305,23.237305
IA,Highways,"7,366","37,257,839",466,"381,462","7,499","7,832","37,639,301",37639301,37.639301
IA,Air Transportation,157,"1,004,271",54,"56,761",179,211,"1,061,032",1061032,1.061032
IA,Sea and Inland Port Facilities,0,0,0,0,0,0,0,0,0
IA,Public Welfare,"3,092","15,933,934",484,"805,845","3,365","3,576","16,739,779",16739779,16.739779
IA,Health,"1,735","9,195,501",696,"925,328","2,026","2,431","10,120,829",10120829,10.120829
IA,Hospitals,"18,989","112,930,314","8,331","9,735,672","21,954","27,320","122,665,986",122665986,122.665986
IA,Social Insurance Administration,548,"2,811,583",1,"6,241",549,549,"2,817,824",2817824,2.817824
IA,Solid Waste Management,900,"4,183,103",218,"198,950",976,"1,118","4,382,053",4382053,4.382053
IA,Sewerage,"1,264","6,130,164",242,"146,160","1,303","1,506","6,276,324",6276324,6.276324
IA,Parks and Recreation,"1,639","7,997,323","2,568","1,362,512","2,305","4,207","9,359,835",9359835,9.359835
IA,Housing & Community Development,548,"3,245,966",72,"85,979",582,620,"3,331,945",3331945,3.331945
IA,Natural Resources,"1,621","9,870,194",604,"471,609","1,893","2,225","10,341,803",10341803,10.341803
IA,Water Supply,"1,583","8,456,169",310,"242,042","1,653","1,893","8,698,211",8698211,8.698211
IA,Electric Power,765,"4,813,902",36,"32,784",778,801,"4,846,686",4846686,4.846686
IA,Gas Supply,68,"410,996",5,"1,172",68,73,"412,168",412168,0.412168
IA,Transit,626,"3,111,851",481,"893,179",947,"1,107","4,005,030",4005030,4.00503
IA,Education,"91,804","470,008,580","58,721","61,415,164","113,828","150,525","531,423,744",531423744,531.423744
IA,Libraries,855,"3,937,935","2,082","2,000,761","1,651","2,937","5,938,696",5938696,5.938696
IA,State liquor stores,0,0,0,0,0,0,0,0,0
IA,All other and unallocable,"3,925","21,315,856",973,"1,179,589","4,318","4,898","22,495,445",22495445,22.495445
KS,Financial Administration,"5,147","23,704,525","1,247","575,338","5,301","6,394","24,279,863",24279863,24.279863
KS,Other Government Administration,"2,830","12,568,655","3,852","1,443,850","3,194","6,682","14,012,505",14012505,14.012505
KS,Judicial and Legal,"3,802","18,250,647",604,"701,692","3,962","4,406","18,952,339",18952339,18.952339
KS,Police Protection,"8,806","43,206,347",745,"659,734","9,056","9,551","43,866,081",43866081,43.866081
KS,Fire Protection,"3,484","20,388,000","2,123","523,697","3,635","5,607","20,911,697",20911697,20.911697
KS,Corrections,"5,924","23,866,895",199,"204,306","6,000","6,123","24,071,201",24071201,24.071201
KS,Highways,"6,743","25,600,351",565,"606,345","6,950","7,308","26,206,696",26206696,26.206696
KS,Air Transportation,264,"1,145,960",25,"20,609",271,289,"1,166,569",1166569,1.166569
KS,Sea and Inland Port Facilities,0,0,0,0,0,0,0,0,0
KS,Public Welfare,"2,986","10,711,935",233,"248,192","3,093","3,219","10,960,127",10960127,10.960127
KS,Health,"4,013","16,395,850","1,061","1,036,333","4,332","5,074","17,432,183",17432183,17.432183
KS,Hospitals,"18,981","101,114,267","4,788","12,360,527","21,292","23,769","113,474,794",113474794,113.474794
KS,Social Insurance Administration,56,"207,468",1,808,56,57,"208,276",208276,0.208276
KS,Solid Waste Management,949,"3,279,704",130,"102,441",996,"1,079","3,382,145",3382145,3.382145
KS,Sewerage,"1,189","4,866,780",143,"78,309","1,224","1,332","4,945,089",4945089,4.945089
KS,Parks and Recreation,"2,630","10,161,620","2,643","1,392,632","3,434","5,273","11,554,252",11554252,11.554252
KS,Housing & Community Development,993,"4,186,780",288,"223,523","1,093","1,281","4,410,303",4410303,4.410303
KS,Natural Resources,"1,087","4,784,574",217,"144,568","1,160","1,304","4,929,142",4929142,4.929142
KS,Water Supply,"2,093","9,875,285",564,"352,868","2,240","2,657","10,228,153",10228153,10.228153
KS,Electric Power,"1,082","7,050,499",24,"20,166","1,095","1,106","7,070,665",7070665,7.070665
KS,Gas Supply,53,"222,143",11,"11,689",59,64,"233,832",233832,0.233832
KS,Transit,320,"1,201,177",97,"110,117",364,417,"1,311,294",1311294,1.311294
KS,Education,"105,106","443,317,389","44,541","44,748,211","119,922","149,647","488,065,600",488065600,488.0656
KS,Libraries,893,"3,804,209",701,"668,594","1,169","1,594","4,472,803",4472803,4.472803
KS,State liquor stores,0,0,0,0,0,0,0,0,0
KS,All other and unallocable,"4,659","21,139,325","1,106","991,661","4,927","5,765","22,130,986",22130986,22.130986
KY,Financial Administration,"3,881","16,157,646",402,"393,996","4,015","4,283","16,551,642",16551642,16.551642
KY,Other Government Administration,"3,414","13,512,168","1,989","1,246,616","3,775","5,403","14,758,784",14758784,14.758784
KY,Judicial and Legal,"5,810","23,003,500",853,"893,572","6,257","6,663","23,897,072",23897072,23.897072
KY,Police Protection,"9,876","45,404,573",966,"1,141,411","10,298","10,842","46,545,984",46545984,46.545984
KY,Fire Protection,"4,000","21,967,959","1,034","682,721","4,242","5,034","22,650,680",22650680,22.65068
KY,Corrections,"7,583","26,276,447",620,"716,211","7,919","8,203","26,992,658",26992658,26.992658
KY,Highways,"6,854","25,302,226",134,"170,079","6,925","6,988","25,472,305",25472305,25.472305
KY,Air Transportation,709,"4,265,194",104,"115,796",752,813,"4,380,990",4380990,4.38099
KY,Sea and Inland Port Facilities,75,"354,827",4,"7,231",76,79,"362,058",362058,0.362058
KY,Public Welfare,"7,161","24,128,584",104,"106,418","7,208","7,265","24,235,002",24235002,24.235002
KY,Health,"7,681","33,778,472","1,162","1,370,798","8,149","8,843","35,149,270",35149270,35.14927
KY,Hospitals,"12,619","65,710,754","2,199","6,110,981","13,777","14,818","71,821,735",71821735,71.821735
KY,Social Insurance Administration,567,"2,160,341",7,"11,865",570,574,"2,172,206",2172206,2.172206
KY,Solid Waste Management,"1,297","3,884,110",143,"150,618","1,372","1,440","4,034,728",4034728,4.034728
KY,Sewerage,"1,782","9,149,525",96,"123,078","1,828","1,878","9,272,603",9272603,9.272603
KY,Parks and Recreation,"2,260","7,537,551","1,129","901,295","2,682","3,389","8,438,846",8438846,8.438846
KY,Housing & Community Development,"1,009","4,525,390",92,"82,627","1,054","1,101","4,608,017",4608017,4.608017
KY,Natural Resources,"2,016","8,378,978",866,"481,644","2,290","2,882","8,860,622",8860622,8.860622
KY,Water Supply,"3,186","13,758,853",296,"307,543","3,273","3,482","14,066,396",14066396,14.066396
KY,Electric Power,532,"3,437,440",8,"2,535",534,540,"3,439,975",3439975,3.439975
KY,Gas Supply,160,"622,703",1,729,161,161,"623,432",623432,0.623432
KY,Transit,991,"4,567,351",125,"176,421","1,064","1,116","4,743,772",4743772,4.743772
KY,Education,"131,323","542,541,180","38,014","39,596,723","147,410","169,337","582,137,903",582137903,582.137903
KY,Libraries,"1,579","5,261,375","1,126","1,044,517","2,141","2,705","6,305,892",6305892,6.305892
KY,State liquor stores,0,0,0,0,0,0,0,0,0
KY,All other and unallocable,"5,076","20,434,914",762,"736,219","5,351","5,838","21,171,133",21171133,21.171133
LA,Financial Administration,"6,450","31,701,481",752,"1,077,217","6,818","7,202","32,778,698",32778698,32.778698
LA,Other Government Administration,"4,369","20,243,441","1,918","2,212,100","5,017","6,287","22,455,541",22455541,22.455541
LA,Judicial and Legal,"7,063","30,006,742",848,"965,287","7,393","7,911","30,972,029",30972029,30.972029
LA,Police Protection,"16,276","79,999,285","2,096","2,406,629","17,248","18,372","82,405,914",82405914,82.405914
LA,Fire Protection,"4,985","23,736,762",559,"392,543","5,131","5,544","24,129,305",24129305,24.129305
LA,Corrections,"11,986","48,085,765",735,"1,037,049","12,501","12,721","49,122,814",49122814,49.122814
LA,Highways,"9,218","36,469,461",507,"638,981","9,511","9,725","37,108,442",37108442,37.108442
LA,Air Transportation,456,"2,175,956",28,"43,447",469,484,"2,219,403",2219403,2.219403
LA,Sea and Inland Port Facilities,586,"3,436,060",47,"69,007",605,633,"3,505,067",3505067,3.505067
LA,Public Welfare,"6,306","26,139,310",479,"494,118","6,555","6,785","26,633,428",26633428,26.633428
LA,Health,"5,106","26,229,327",564,"964,895","5,350","5,670","27,194,222",27194222,27.194222
LA,Hospitals,"25,551","130,228,530","5,481","11,162,133","28,462","31,032","141,390,663",141390663,141.390663
LA,Social Insurance Administration,853,"4,004,195",71,"114,483",886,924,"4,118,678",4118678,4.118678
LA,Solid Waste Management,"1,203","3,734,411",298,"279,988","1,350","1,501","4,014,399",4014399,4.014399
LA,Sewerage,"1,413","5,499,810",106,"97,558","1,459","1,519","5,597,368",5597368,5.597368
LA,Parks and Recreation,"3,453","12,968,598","2,229","2,087,892","4,468","5,682","15,056,490",15056490,15.05649
LA,Housing & Community Development,954,"4,026,197",152,"144,281","1,017","1,106","4,170,478",4170478,4.170478
LA,Natural Resources,"3,717","17,563,799",529,"381,756","3,930","4,246","17,945,555",17945555,17.945555
LA,Water Supply,"3,032","11,651,974",182,"177,552","3,102","3,214","11,829,526",11829526,11.829526
LA,Electric Power,612,"2,687,398",34,"53,848",635,646,"2,741,246",2741246,2.741246
LA,Gas Supply,297,"1,055,524",42,"50,536",316,339,"1,106,060",1106060,1.10606
LA,Transit,508,"1,706,066",38,"49,181",527,546,"1,755,247",1755247,1.755247
LA,Education,"122,897","445,025,785","34,280","27,209,115","134,709","157,177","472,234,900",472234900,472.2349
LA,Libraries,"2,357","8,115,667","1,100","1,255,401","2,865","3,457","9,371,068",9371068,9.371068
LA,State liquor stores,0,0,0,0,0,0,0,0,0
LA,All other and unallocable,"5,435","23,597,276",515,"560,307","5,659","5,950","24,157,583",24157583,24.157583
ME,Financial Administration,"2,464","11,991,059","1,037","1,039,299","2,928","3,501","13,030,358",13030358,13.030358
ME,Other Government Administration,"1,328","6,663,973","1,444","1,238,899","1,664","2,772","7,902,872",7902872,7.902872
ME,Judicial and Legal,994,"5,200,875",213,"289,481","1,097","1,207","5,490,356",5490356,5.490356
ME,Police Protection,"2,949","16,870,010",365,"351,824","3,079","3,314","17,221,834",17221834,17.221834
ME,Fire Protection,"1,388","7,398,341","2,294","1,118,161","1,719","3,682","8,516,502",8516502,8.516502
ME,Corrections,"1,752","8,666,028",242,"313,434","1,903","1,994","8,979,462",8979462,8.979462
ME,Highways,"3,534","15,932,399",439,"491,646","3,699","3,973","16,424,045",16424045,16.424045
ME,Air Transportation,203,"914,799",100,"155,958",260,303,"1,070,757",1070757,1.070757
ME,Sea and Inland Port Facilities,96,"438,147",38,"66,433",118,134,"504,580",504580,0.50458
ME,Public Welfare,"2,301","9,582,525",130,"179,555","2,368","2,431","9,762,080",9762080,9.76208
ME,Health,979,"4,935,519",485,"546,902","1,162","1,464","5,482,421",5482421,5.482421
ME,Hospitals,"1,341","7,481,004",463,"996,193","1,600","1,804","8,477,197",8477197,8.477197
ME,Social Insurance Administration,156,"741,677",31,"39,512",187,187,"781,189",781189,0.781189
ME,Solid Waste Management,375,"1,622,072",383,"345,335",540,758,"1,967,407",1967407,1.967407
ME,Sewerage,553,"2,732,363",144,"98,225",595,697,"2,830,588",2830588,2.830588
ME,Parks and Recreation,503,"2,113,449","1,218","921,293","1,007","1,721","3,034,742",3034742,3.034742
ME,Housing & Community Development,490,"2,164,438",95,"93,637",534,585,"2,258,075",2258075,2.258075
ME,Natural Resources,"1,060","5,574,323",413,"481,268","1,232","1,473","6,055,591",6055591,6.055591
ME,Water Supply,656,"3,128,701",186,"138,079",703,842,"3,266,780",3266780,3.26678
ME,Electric Power,28,"157,569",2,"1,200",29,30,"158,769",158769,0.158769
ME,Gas Supply,0,0,0,0,0,0,0,0,0
ME,Transit,116,"590,452",40,"114,886",148,156,"705,338",705338,0.705338
ME,Education,"37,444","153,488,973","13,894","15,420,215","42,041","51,338","168,909,188",168909188,168.909188
ME,Libraries,234,"924,284",452,"482,435",426,686,"1,406,719",1406719,1.406719
ME,State liquor stores,1,"11,063",0,0,1,1,"11,063",11063,0.011063
ME,All other and unallocable,"1,743","8,437,511","1,176","777,617","2,072","2,919","9,215,128",9215128,9.215128
MD,Financial Administration,"5,429","32,122,293",440,"1,066,465","5,682","5,869","33,188,758",33188758,33.188758
MD,Other Government Administration,"4,984","31,017,936","1,258","2,612,369","5,518","6,242","33,630,305",33630305,33.630305
MD,Judicial and Legal,"8,193","47,193,389",880,"2,606,134","8,821","9,073","49,799,523",49799523,49.799523
MD,Police Protection,"17,749","133,099,982","1,331","2,194,765","18,354","19,080","135,294,747",135294747,135.294747
MD,Fire Protection,"7,246","55,289,584",165,"282,922","7,329","7,411","55,572,506",55572506,55.572506
MD,Corrections,"13,312","111,686,356",337,"1,234,089","13,594","13,649","112,920,445",112920445,112.920445
MD,Highways,"9,043","54,557,373",101,"167,952","9,116","9,144","54,725,325",54725325,54.725325
MD,Air Transportation,505,"3,634,601",27,"21,135",516,532,"3,655,736",3655736,3.655736
MD,Sea and Inland Port Facilities,271,"2,248,466",8,"4,367",273,279,"2,252,833",2252833,2.252833
MD,Public Welfare,"8,017","46,897,701",866,"2,305,927","8,741","8,883","49,203,628",49203628,49.203628
MD,Health,"10,912","65,439,495","3,036","10,102,516","12,970","13,948","75,542,011",75542011,75.542011
MD,Hospitals,"3,471","27,442,691",534,"1,213,074","3,705","4,005","28,655,765",28655765,28.655765
MD,Social Insurance Administration,785,"4,559,974",114,"402,976",883,899,"4,962,950",4962950,4.96295
MD,Solid Waste Management,"1,407","6,442,537",149,"191,766","1,488","1,556","6,634,303",6634303,6.634303
MD,Sewerage,"2,014","10,451,579",26,"33,245","2,031","2,040","10,484,824",10484824,10.484824
MD,Parks and Recreation,"5,048","28,903,296","6,874","6,817,959","7,834","11,922","35,721,255",35721255,35.721255
MD,Housing & Community Development,"2,063","11,066,575",173,"814,547","2,170","2,236","11,881,122",11881122,11.881122
MD,Natural Resources,"1,819","10,954,744",283,"746,998","2,019","2,102","11,701,742",11701742,11.701742
MD,Water Supply,"2,543","12,981,494",25,"57,953","2,563","2,568","13,039,447",13039447,13.039447
MD,Electric Power,88,"566,750",0,0,88,88,"566,750",566750,0.56675
MD,Gas Supply,6,"43,156",0,0,6,6,"43,156",43156,0.043156
MD,Transit,"1,826","11,604,328",230,"350,891","1,959","2,056","11,955,219",11955219,11.955219
MD,Education,"151,770","918,994,526","68,804","113,641,548","187,477","220,574","1,032,636,074",1032636074,1032.636074
MD,Libraries,"2,307","12,052,218","1,952","2,617,658","3,129","4,259","14,669,876",14669876,14.669876
MD,State liquor stores,0,0,0,0,0,0,0,0,0
MD,All other and unallocable,"12,291","76,478,118","1,719","4,587,688","13,418","14,010","81,065,806",81065806,81.065806
MA,Financial Administration,"7,909","49,855,025","1,239","1,982,307","8,347","9,148","51,837,332",51837332,51.837332
MA,Other Government Administration,"5,401","33,105,635","2,155","2,438,754","6,041","7,556","35,544,389",35544389,35.544389
MA,Judicial and Legal,"9,497","65,888,415",261,"941,813","9,591","9,758","66,830,228",66830228,66.830228
MA,Police Protection,"20,284","181,323,566","3,228","3,517,911","21,320","23,512","184,841,477",184841477,184.841477
MA,Fire Protection,"12,847","101,331,198","2,469","1,747,399","13,323","15,316","103,078,597",103078597,103.078597
MA,Corrections,"11,756","73,469,637",109,"448,076","11,789","11,865","73,917,713",73917713,73.917713
MA,Highways,"8,432","51,933,498",383,"563,133","8,597","8,815","52,496,631",52496631,52.496631
MA,Air Transportation,"1,137","9,120,149",16,"20,858","1,144","1,153","9,141,007",9141007,9.141007
MA,Sea and Inland Port Facilities,233,"1,729,476",58,"56,971",256,291,"1,786,447",1786447,1.786447
MA,Public Welfare,"9,585","56,690,961","2,235","3,574,779","10,492","11,820","60,265,740",60265740,60.26574
MA,Health,"9,701","57,464,823","1,724","3,759,832","10,369","11,425","61,224,655",61224655,61.224655
MA,Hospitals,"8,234","51,979,320","1,661","8,304,525","9,192","9,895","60,283,845",60283845,60.283845
MA,Social Insurance Administration,"1,017","6,528,691",25,"139,183","1,029","1,042","6,667,874",6667874,6.667874
MA,Solid Waste Management,966,"5,030,889",302,"287,125","1,079","1,268","5,318,014",5318014,5.318014
MA,Sewerage,"2,642","17,354,097",154,"362,801","2,696","2,796","17,716,898",17716898,17.716898
MA,Parks and Recreation,"2,968","16,621,331","2,349","1,678,583","3,632","5,317","18,299,914",18299914,18.299914
MA,Housing & Community Development,"4,230","23,019,233",594,"944,548","4,532","4,824","23,963,781",23963781,23.963781
MA,Natural Resources,"1,413","9,843,154",191,"539,636","1,484","1,604","10,382,790",10382790,10.38279
MA,Water Supply,"3,421","21,278,379",261,"264,355","3,491","3,682","21,542,734",21542734,21.542734
MA,Electric Power,"1,206","10,219,460",47,"93,901","1,226","1,253","10,313,361",10313361,10.313361
MA,Gas Supply,87,"811,933",5,"8,977",90,92,"820,910",820910,0.82091
MA,Transit,"5,917","41,470,248",539,"1,653,671","5,940","6,456","43,123,919",43123919,43.123919
MA,Education,"174,227","995,068,789","56,098","80,446,391","192,984","230,325","1,075,515,180",1075515180,1075.51518
MA,Libraries,"2,891","14,848,742","3,235","3,701,748","4,162","6,126","18,550,490",18550490,18.55049
MA,State liquor stores,0,0,0,0,0,0,0,0,0
MA,All other and unallocable,"8,657","57,808,010","4,149","4,166,482","9,803","12,806","61,974,492",61974492,61.974492
MI,Financial Administration,"9,640","55,557,056","3,888","6,305,377","11,189","13,528","61,862,433",61862433,61.862433
MI,Other Government Administration,"7,154","34,228,248","11,608","7,039,162","8,899","18,762","41,267,410",41267410,41.26741
MI,Judicial and Legal,"10,269","53,855,697","1,267","2,603,200","10,898","11,536","56,458,897",56458897,56.458897
MI,Police Protection,"20,142","117,627,362","3,235","3,965,256","21,390","23,377","121,592,618",121592618,121.592618
MI,Fire Protection,"5,932","34,638,012","8,138","3,605,999","7,108","14,070","38,244,011",38244011,38.244011
MI,Corrections,"16,614","88,728,236",745,"1,806,467","17,060","17,359","90,534,703",90534703,90.534703
MI,Highways,"10,112","51,846,903","1,016","2,028,972","10,709","11,128","53,875,875",53875875,53.875875
MI,Air Transportation,"1,081","6,936,173",142,"221,737","1,157","1,223","7,157,910",7157910,7.15791
MI,Sea and Inland Port Facilities,11,"65,522",19,"4,763",14,30,"70,285",70285,0.070285
MI,Public Welfare,"13,232","64,906,990","2,203","4,871,257","14,669","15,435","69,778,247",69778247,69.778247
MI,Health,"13,798","68,923,102","3,409","8,916,199","15,655","17,207","77,839,301",77839301,77.839301
MI,Hospitals,"19,870","116,330,030","8,898","41,460,293","26,224","28,768","157,790,323",157790323,157.790323
MI,Social Insurance Administration,479,"2,842,813",15,"49,734",493,494,"2,892,547",2892547,2.892547
MI,Solid Waste Management,799,"3,478,569",316,"333,583",907,"1,115","3,812,152",3812152,3.812152
MI,Sewerage,"2,979","14,312,493",358,"302,731","3,100","3,337","14,615,224",14615224,14.615224
MI,Parks and Recreation,"2,337","11,394,378","4,543","3,897,893","3,973","6,880","15,292,271",15292271,15.292271
MI,Housing & Community Development,"1,337","6,848,508",361,"554,668","1,531","1,698","7,403,176",7403176,7.403176
